Title,DOI,Article Type?,Year,Courses:,keyword themes,Inclusive Teaching  included?,Inclusive Teaching Description,Word Count of Inclusive Teaching?,Attended Workshop?,article_num,Group Year
Diversifying and Humanizing Scientist Role Models Through Interviews and Constructing Slide Decks on Researchers’ Research and Life Experiences,https://doi.org/10.24918/cs.2022.1,Lesson,2022,"proffessional development and career planning, science process skills","research, diversity, inclusion, Scientific Process, Representation, Scientist, Role Models",yes,"this lesson was designed to both introduce (or reintroduce) students to the importance of diversity in science, as well as to help students humanize researchers for themselves. we used active learning to make the teaching and classroom activities as inclusive as possible (see “active learning,” above).

this lesson challenged students to uncover their understandings about who can and does do research, while at the same time allowing them to learn more about a research area that particularly interested them. students directly approached questions of bias and inclusion in stem, both through discussions and by reflecting on social aspects of their own education related to their interests in science and research. in their interviews, students asked researchers about their personal journeys and struggles, which uncovered elements of humanity in faculty and instructors that students might not otherwise have learned about.

student engagement was facilitated by instructors to ensure that students were able to contribute verbally (in discussions and think-pair-share activities), through writing (via quick writes), and in a variy of different roles (producing, giving feedback, revising) within their small groups. these activities were intended to ensure that all students were able to participate fully using their skills and strengths.

in accordance with the principles of inclusive teaching laid out by kimberly tanner (23), we employed a variy of low-stakes and collaborative teaching strategies to facilitate the group work. we were particularly careful to make sure that student-conceived norms for the classroom were applied and revisited throughout the course (22–24). this was especially important during discussions of inclusion, equity, and diversity, which introduced challenging descriptions of gender and racial bias that some students had not encountered in a classroom before.

because student choice and interest drive motivation and ownership (22, 25–27), students had a wide range of topics to explore (anything that fell under the flexible rubric of “natural science”, including both physical and life sciences). based on their scientific and research interests, students formed groups, which were different from previous groups that they had worked with. thus, within the classroom, the diversity of student interests and strengths became immediately clear to all participants. 

this lesson explicitly addresses the roles that identity plays in scientists’ lives and work. we used principles of inclusive teaching to ensure participation by all students at the same time that we explored how and why participation in science is still not universal (see “diversity in science” below). by providing students with choice, they also gained agency and self-efficacy in their own education and exploration.

group work is inherent to this lesson plan. we acknowledge that group work can be prohibitively difficult for students with extracurricular pressures and responsibilities such as work, commutes, and family. therefore, we recommend using smaller groups (3-4 students) rather than larger groups so that students within groups are bter able to find times to me outside of class. we also recommend forming groups with herogeneity in mind; groups should have students with different levels of previous experience and compency levels in regard to the subject matter (28). for students from underrepresented backgrounds and identities, we recommend that whenever possible, groups do not have only one representative from that underrepresented background to prevent feelings of isolation (29).
",528,No,256,2019 - 2022
Meiosis Remodeled: Inclusion of New Parts to Poppit Bead Models Enhances Understanding of Meiosis,https://doi.org/10.24918/cs.2022.2,Lesson,2022,"cell biology, genetics, introduction biology","meiosis, chiasma formation, chromosome recombination",Yes,"poppitmeiosis is designed to be adaptable for a wide range of curricula, and under the widest of circumstances – in a lecture course or seminar, in a classroom, in a laboratory sting, and for ‘self-teaching’ in a home situation. the lesson employs instructional materials that are easily and widely available, and with which students can work at their own pace and depth, depending on their individual backgrounds, needs, learning abilities and styles. poppitmeiosis encourages learning and understanding of chromosomes in meiosis, the teaching of which has been a challenge for generations of educators. poppit’s hands-on approach is inviting to students of virtually all learning styles and abilities. it offers ways they can quickly engage with the material at hand and therefore be encouraged to talk, listen, and interact on the task. poppitmeiosis thus naturally creates an atmosphere that improves understanding of meiosis and thereby enhances appreciation of the significance of meiosis, as it relates to all sexually reproducing organisms: plants, animals and humans.
",163,No,255,2019 - 2022
Does Organelle Shape Matter?: Exploring Patterns in Cell Shape and Structure with High-Throughput (HT) Imaging,https://doi.org/10.24918/cs.2022.3,Lesson,2022,"Biochemistry and Molecular Biology, Bioinformatics, Cell Biology, Genetics, Science Process Skills","modeling, case study, microscopy, structure, Organelles, High-throughput (HT), Endoplasmic Reticulum (ER), Fluorescent microscopy, Human Cell Biology",Yes,"this lesson was designed to be approachable to and accessible by a broad range of learners in order to expose students to high-throughput datass and their potential. case studies can be adapted to a variy of courses and formats. we have implemented this case as a series of handouts formatted for ada accessibility to be screen-reader friendly. we provide the workshes both as physical handouts and as editable electronic documents. we have used google docs to encourage groups of students to work collaboratively, both in class and virtually (often asynchronously). in-class discussions are used to facilitate contributions by all participants. several of the questions have multiple potential responses and can be used to foster productive discussions about the mhodology and future experiments, prompting students to think critically about high-throughput technologies, for example. see supporting file s3. does organelle shape matter? - teaching notes.

additionally, in-class administration of the case can be accomplished using several student-centered active learning techniques including group work, think-pair-share, and whip around to promote learning (15). case studies can be used as low-stakes assignments to foster productive discussions, use of high-throughput databases and resources, and quantitative skills. instructors are encouraged to allow students to submit compled cases in alternative formats including audio and video files.
",207,No,254,2019 - 2022
Learning Quantitative Genetics: Investigation of Genetic Control for Cold Stress Response in Plants,https://doi.org/10.24918/cs.2022.4,Lesson,2022,Genetics,"data analysis, recombination, plants, quantitative genetics, abiotic stress response, genetic control of complex traits, inheritance of complex traits",Yes,"this laboratory series provides authentic research opportunities embedded in the curriculum. while many students find summer research opportunities more demanding, highly compitive, and less accessible due to students’ obligations outside of school, course-embedded research opportunities allow all students to engage in science (16). students with different attitudes toward science, different preferences for lab work and computational data analysis, and different levels of prior knowledge work togher in small teams. this laboratory series involves investigating plant genics, a topic frequently omitted from genics courses, thus attempting to address “plant awareness disparity,” lack of plant-related topics in many college biology courses. students discuss, observe, and investigate genic diversity of maize lines and make connections to genic diversity in human populations.
",118,No,253,2019 - 2022
Using Open-Source Bioinformatics and Visualization Tools to Explore the Structure and Function of SARS-CoV-2 Spike Protein,https://doi.org/10.24918/cs.2022.5,Lesson,2022,"Biochemistry and Molecular Biology, Bioinformatics, Science Process Skills","bioinformatics, molecular modeling, COVID19, protein structure and function, UCSF Chimera, SARS-CoV-2 spike protein, ACE2 receptor",yes,"“giving students opportunities to think and talk about biology” (16)
“allow students time to write”
each student works through each assignment at their own pace, while still being able to work with teaching assistants and instructors for help. this gives the individual student the time needed to work through the different computational tools and think through the given assignments.
“building an inclusive and fair biology classroom for all students” (16)
“integrate culturally diverse and relevant examples”
the students worked with the sars-cov-2 protein responsible for the covid-19 disease and pandemic. they used molecular modeling to interrogate the structure of the main domain of the sars-cov-2 spike protein that is responsible for the interaction with and infectivity of humans by this virus. 
“monitoring (your own and students’) behavior to cultivate divergent biological thinking” (16)
“ask open-ended questions”
each assignment contained open-ended questions. answers could vary bween students. these questions were assessed based on the clarity of explanation and communication. 
“promoting engagement and self-efficacy” (20)
it was emphasized to students that the computational and molecular visualization tools were used in academic and industrial research efforts. 
it was emphasized that the protein structures of the sars-cov-2 spike protein and the human ace2 receptor that were used in this project are also used by experts to interrogate the interaction and identify possible therapeutic interventions.",212,No,252,2019 - 2022
"Electron Location, Location, Location: Understanding Biological Interactions",https://doi.org/10.24918/cs.2022.6,Lesson,2022,"Biochemistry and Molecular Biology, Introductory Biology","hydrogen bonds, hydrophobicity/hydrophilicity, polar and non-polar covalent bonds",Yes,"in large classrooms we use random call to help increase inclusivity and belonging. on the first day of the course we discuss why we use this strategy, explicitly referencing the eddy, brownell and wenderoth (8) finding that males volunteer answers more often than females.
in order to make random call less threatening, we use a highly structured process following many of the principles outlined by waugh and andrews (9). students work on the question once on their own, then with a group so they have had time to think and discuss the question. we use inclusive language by asking about the process, not for the answer: “student x, what was your group discussing?” or “what were your group’s thoughts?” we frame random call on the first day of the course as being the start of a discussion, not an assessment of a particular student. students with extreme anxiy are able to opt-out of the random call list and we do not assign any credit for answering or not answering the call. 
in order to accurately refer to students we have a precourse survey in which we obtain each student’s preferred name and pronoun.
to support issues of identity and belonging in the classroom, we frequently use short, unscripted statements to reinforce all students’ rightful presence in the course and each students’ intrinsic value. we openly acknowledge that students frequently feel “imposter” syndrome and encourage them to seek study groups or help from staff.
on the first day of class, we have shared our own academic stories of “feeling like a failure” to normalize the fact that we all struggle and can still succeed.
we use positive language to frame student responses and encourage continued discussion.
our institution has a service contract with poll everywhere so all students have free access to polling software. if an institution does not have this access, an equitable option could be to simply ask students to raise their hands or hand out index cards with lters or that are different colors so that students can raise the card that indicates their selection. one drawback to this mhod is that it can stigmatize students who have the incorrect selection, so students may lose a sense of belonging.",366,Yes,251,2019 - 2022
A classroom intervantion to reduce confirmation bias,Https://doi.org/10.24918/cs.2022.7,Lesson,2022,science process skills,"bias, process of science, metacognition, confirmation bias, cognitive bias",yes,"this activity is open to all students, independent of academic background, identity, or major. our class was a blend of hearing and deaf/hard-of-hearing (d/hh) students, and the discussions and activities were designed to encourage participation by all. d/hh students are supported in the classroom by campus-based access services, which may include sign language interprers or real-time captionists, depending on the student’s needs and preferences. because our course was targed to first generation and d/hh students (21), early in the course the students were all given instructions and modeled behavior of how to support an inclusive learning environment for individuals with disabilities.

the puzzle activity includes two roles – a guesser and a teller, and students are allowed to select the role in which they are most comfortable. the use of this intervention supports the development of macognitive skills, particularly monitoring one's own learning. aspects of identity, including being aware of ways in which reasoning and identity intersect, can be included in classroom discussions. the controversial topics themselves often lead to discussions in the classroom around diversity, and cultural or political diversity in particular. for example, one of the topics discussed in our classroom is hydrofracking, and the discussion about the pros and cons of this mhod for extracting energy often shifts to political and rural/urban differences in how this topic is viewed and how information about its utility and safy is presented. modeling respectful behavior and active listening (28) is incorporated throughout the course.
",243,No,250,2019 - 2022
A How to Guide and Template for Designing a Puzzle Based Escape Room Game,Https://doi.org/10.24918/cs.2022.8,Teaching Tools and Strategies,2022,"Biochemistry and Molecular Biology, Bioinformatics, Ecology, Evolution, Genetics, Science Process Skills","Problem Solving, Collaborative Work, Correct Misconceptions",Yes,"as this activity is based on group work, it helps to foster a learning community within each group and promotes the exchange of ideas and collaboration. using randomized groups also helps students to hear perspectives that they may not usually hear.
",41,No,249,2019 - 2022
Gender and Classroom Participation: A Case for Quantitative Analysis,Https://doi.org/10.24918/cs.2022.9,Lesson,2022,science process skills,"statistics, gender, population, Proportion, Sample, Equality",Yes,"the topic of the paper is about the inclusion of women in class discussions, and so naturally the students considered their own experience in the current classroom environment in addition to the context described in norway in the paper. the instructor can ask the students whher the same situation holds for their own classes based on their observations. the implications of the paper sparked debate about sexism in political science and in stem, and so it is important to prepare for this by stressing that as instructors, we strive to create inclusive environments in which everyone is comfortable contributing. no matter a student’s subjective opinion about the implications of the paper, everyone can participate and answer the research questions posed by the paper with the data provided. also, inherent to this work is the question whher gender is a binary variable. however, the hics of this nature of research can also be somhing addressed in class. if the instructor is not feeling prepared to discuss such a highly politicized issue, they can note that in this case, the researcher uses “gender” to mean “sex.” in fact, in most government or healthcare facilities collected data up until now the variable “gender” only assumes two values: male and female, meaning that they actually mean “sex.”
",213,No,248,2019 - 2022
Making Change Sustainable: Network for Integrating Bioinformatics into Life Sciences Education (NIBLSE) Meeting Review,Https://doi.org/10.24918/cs.2022.10,Review,2022,Bioinformatics,"meeting, sustainability, fmn, NIBLSE, incubator",yes,resources recommended by niblse include instructor resources to engage students from varied backgrounds. our goal with introductory resources in particular is to assist instructors with little or no bioinformatics expertise with integration of bioinformatics into biology courses for students with varied backgrounds. we make an effort to include instructors with little or no bioinformatics experience in incubators and fmns,59,Yes,247,2019 - 2022
