Title;DOI;Article Type?;Year;Courses:;keyword themes;Inclusive Teaching  included?;Word Count of Inclusive Teaching?;Attended Workshop?;article_num;Group Year;it_tokens_3w;dei_related
Diversifying and Humanizing Scientist Role Models Through Interviews and Constructing Slide Decks on Researchers’ Research and Life Experiences;https://doi.org/10.24918/cs.2022.1;Lesson;2022;proffessional development and career planning, science process skills;research, diversity, inclusion, Scientific Process, Representation, Scientist, Role Models;yes;528;NA;256;2019 - 2022;help students humanize;TRUE
Diversifying and Humanizing Scientist Role Models Through Interviews and Constructing Slide Decks on Researchers’ Research and Life Experiences;https://doi.org/10.24918/cs.2022.1;Lesson;2022;proffessional development and career planning, science process skills;research, diversity, inclusion, Scientific Process, Representation, Scientist, Role Models;yes;528;NA;256;2019 - 2022;students humanize researchers;TRUE
Diversifying and Humanizing Scientist Role Models Through Interviews and Constructing Slide Decks on Researchers’ Research and Life Experiences;https://doi.org/10.24918/cs.2022.1;Lesson;2022;proffessional development and career planning, science process skills;research, diversity, inclusion, Scientific Process, Representation, Scientist, Role Models;yes;528;NA;256;2019 - 2022;used active learning;TRUE
Diversifying and Humanizing Scientist Role Models Through Interviews and Constructing Slide Decks on Researchers’ Research and Life Experiences;https://doi.org/10.24918/cs.2022.1;Lesson;2022;proffessional development and career planning, science process skills;research, diversity, inclusion, Scientific Process, Representation, Scientist, Role Models;yes;528;NA;256;2019 - 2022;possible see active;FALSE
Diversifying and Humanizing Scientist Role Models Through Interviews and Constructing Slide Decks on Researchers’ Research and Life Experiences;https://doi.org/10.24918/cs.2022.1;Lesson;2022;proffessional development and career planning, science process skills;research, diversity, inclusion, Scientific Process, Representation, Scientist, Role Models;yes;528;NA;256;2019 - 2022;see active learning;TRUE
Diversifying and Humanizing Scientist Role Models Through Interviews and Constructing Slide Decks on Researchers’ Research and Life Experiences;https://doi.org/10.24918/cs.2022.1;Lesson;2022;proffessional development and career planning, science process skills;research, diversity, inclusion, Scientific Process, Representation, Scientist, Role Models;yes;528;NA;256;2019 - 2022;lesson challenged students;TRUE
Diversifying and Humanizing Scientist Role Models Through Interviews and Constructing Slide Decks on Researchers’ Research and Life Experiences;https://doi.org/10.24918/cs.2022.1;Lesson;2022;proffessional development and career planning, science process skills;research, diversity, inclusion, Scientific Process, Representation, Scientist, Role Models;yes;528;NA;256;2019 - 2022;students directly approached;FALSE
Diversifying and Humanizing Scientist Role Models Through Interviews and Constructing Slide Decks on Researchers’ Research and Life Experiences;https://doi.org/10.24918/cs.2022.1;Lesson;2022;proffessional development and career planning, science process skills;research, diversity, inclusion, Scientific Process, Representation, Scientist, Role Models;yes;528;NA;256;2019 - 2022;directly approached questions;FALSE
Diversifying and Humanizing Scientist Role Models Through Interviews and Constructing Slide Decks on Researchers’ Research and Life Experiences;https://doi.org/10.24918/cs.2022.1;Lesson;2022;proffessional development and career planning, science process skills;research, diversity, inclusion, Scientific Process, Representation, Scientist, Role Models;yes;528;NA;256;2019 - 2022;interviews students asked;TRUE
Diversifying and Humanizing Scientist Role Models Through Interviews and Constructing Slide Decks on Researchers’ Research and Life Experiences;https://doi.org/10.24918/cs.2022.1;Lesson;2022;proffessional development and career planning, science process skills;research, diversity, inclusion, Scientific Process, Representation, Scientist, Role Models;yes;528;NA;256;2019 - 2022;students asked researchers;TRUE
Diversifying and Humanizing Scientist Role Models Through Interviews and Constructing Slide Decks on Researchers’ Research and Life Experiences;https://doi.org/10.24918/cs.2022.1;Lesson;2022;proffessional development and career planning, science process skills;research, diversity, inclusion, Scientific Process, Representation, Scientist, Role Models;yes;528;NA;256;2019 - 2022;students might not;FALSE
