unique(rios_data_token3it$it_tokens_3w),n
abc news article,1
abilities experimental questions,1
abled students including,1
academic background identity,1
academic performance confidence,1
academic professional backgrounds,1
access discussion throughout,1
access faculty access,1
accessible indoor field,1
accommodating different learning,1
accommodating visual learners,1
accommodators perceived individual,1
accomplishments builds confidence,1
achieve full participation,1
achievement gaps based,1
acknowledge diverse perspectives,1
across diverse natural,1
across personality types,1
across racial gender,1
active experimentation end,1
active learning activities,1
active learning also,1
active learning approach,1
active learning approaches,1
active learning cooperation,1
active learning exercises,1
active learning experience,1
active learning increases,1
active learning instructional,1
active learning lecture,1
active learning making,1
active learning methods,1
active learning practices,1
active learning required,1
active learning strategies,1
active learning styles,1
active learning technique,1
active learning techniques,1
active learning workshop,1
active participation among,1
active student engagement,1
actively encourages group,1
activities address different,1
activities engage students,1
activities everyone becomes,1
activities help students,1
activities promote access,1
activities students gain,1
activity asks students,1
activity brainstorm promotes,1
activity challenged students,1
activity encourages students,1
activity engages every,1
activity groups need,1
activity helps build,1
activity involves cooperative,1
activity involves individual,1
activity meets students,1
activity moved students,1
activity promotes inclusion,1
activity transparency improving,1
adaptable active learning,1
addition diverse students,1
addition self selected,1
additional discussion opportunities,1
additional diverse resources,1
additionally authentic research,1
additionally feedback provided,1
additionally instructors need,1
additionally students working,1
additionally visual communication,1
address different learning,1
address inclusive teaching,1
address inclusivity using,1
address misconceptions students,1
advanced students can,1
affect people living,1
affective learning dimensions,1
affects everyone differently,1
african american black,1
african american men,1
african american woman,1
african american women,1
age gender race,1
age race national,1
ages gender etc,1
alaskan native native,1
allied health studies,1
allow differently abled,1
allow equitable contributions,1
allow everyone even,1
allow students time,1
allowing different students,1
allowing diverse students,1
allowing individual choice,1
allowing visually impaired,1
allows different members,1
allows multiple representations,1
allows quieter students,1
already economically relevant,1
also accommodating students,1
also addresses racial,1
also closed captions,1
also emphasizes critical,1
also enables students,1
also expose students,1
also facilitates participation,1
also foster discussion,1
also fostering inclusive,1
also gained agency,1
also help students,1
also helps students,1
also illustrates cultural,1
also increasing inclusivity,1
also promotes diversity,1
also provide encouraging,1
also provide flexibility,1
also provide opportunities,1
also provided students,1
also recommend forming,1
also recommend think,1
also self efficacy,1
also summarized visually,1
also use unbiased,1
also used transparent,1
alt text tags,1
alternate color schemes,1
alternate green magenta,1
alternate names additionally,1
alternative formats including,1
alternative means since,1
american alaskan native,1
american black native,1
american cultures science,1
american sign language,1
american south american,1
american west cutthroat,1
american woman henrietta,1
among diverse students,1
among group members,1
among groups promotes,1
among members based,1
among students trying,1
analogies encourages students,1
analysis enforcing inclusion,1
annotation promotes investment,1
another encouraging collaboration,1
another enriching opportunity,1
another strategy promoted,1
answer authentic questions,1
answer helps students,1
anxiety around test,1
anyone feeling isolated,1
applications helps students,1
appreciate physical involvement,1
appreciate visual learning,1
appreciated exercise resistance,1
approach students learn,1
approaches provides opportunities,1
area students living,1
around common interests,1
arrangements can also,1
articles students explored,1
artistic students can,1
asian cultural contexts,1
asked solo students,1
assembly students discuss,1
